2.622,0.036,0,0
0.177,0.035,0,0
0.078,0.03,0,0
0.07,0.03,1,0
0.123,0.031,1,0
0.059,0.031,1,2
0.056,0.032,0,0
0.047,0.03,0,0
0.045,0.031,3,1
0.048,0.029,3,1
0.046,0.031,3,0
0.044,0.029,2,2
0.04,0.029,3,2
0.046,0.03,2,2
0.039,0.031,2,0
0.041,0.029,3,1
0.04,0.031,3,1
0.045,0.033,2,0
0.057,0.034,2,1
0.054,0.037,3,1
0.053,0.036,4,0
0.04,0.038,1,2
0.047,0.04,6,1
0.047,0.042,2,3
0.049,0.031,1,1
0.04,0.037,4,1
0.036,0.037,1,2
0.036,0.037,4,1
0.041,0.03,5,2
0.043,0.033,9,2
0.039,0.036,1,1
0.042,0.04,4,3
0.042,0.044,2,7
0.046,0.042,8,1
0.041,0.031,6,1
0.04,0.038,6,0
0.041,0.037,15,5
0.042,0.037,11,3
0.041,0.039,9,4
0.041,0.031,4,2
0.043,0.037,6,6
0.041,0.043,10,0
0.039,0.037,8,3
0.039,0.039,8,5
0.044,0.032,18,5
0.042,0.037,8,5
0.043,0.036,10,5
0.039,0.039,5,4
0.039,0.039,11,8
0.046,0.033,8,2
0.041,0.036,11,2
0.043,0.039,8,7
0.037,0.031,8,5
0.034,0.032,8,3
0.033,0.031,7,5
0.032,0.03,11,4
0.034,0.03,10,0
0.034,0.032,12,5
0.035,0.031,10,6
0.035,0.03,14,6
0.036,0.031,17,7
0.036,0.03,16,5
0.034,0.03,9,3
0.032,0.034,11,5
0.034,0.032,17,7
0.032,0.033,12,9
0.031,0.031,10,6
0.034,0.031,14,5
0.032,0.031,11,3
0.041,0.04,9,5
0.038,0.038,9,8
0.041,0.036,12,5
0.037,0.033,14,3
0.039,0.031,17,7
0.034,0.032,8,8
0.034,0.033,16,10
0.033,0.041,11,8
0.044,0.038,14,8
0.041,0.03,10,3
0.032,0.033,12,14
0.032,0.03,9,6
0.031,0.033,13,10
0.036,0.034,15,7
0.036,0.032,19,3
0.032,0.037,11,7
0.035,0.034,14,11
0.036,0.034,14,3
0.033,0.033,15,5
0.032,0.035,13,12
0.039,0.038,17,8
0.04,0.04,19,8
0.038,0.038,16,13
0.037,0.037,10,11
0.039,0.036,19,5
0.038,0.035,16,9
0.038,0.034,21,4
0.039,0.123,20,9
0.034,0.037,18,12
0.037,0.036,12,10
0.038,0.038,21,8
